date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:23	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
18:34:24	7013/7013	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b65%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
18:34:24	54568/54568	---M--	200	added ('OK')	application/octet-stream	etag:%225afd493d-d528%22	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
18:34:24	54568/54568	---M--	200	added ('OK')	application/octet-stream	etag:%225afd493d-d528%22	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot?	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-iconsd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
18:34:25	32020/32020	---M--	200	added ('OK')	application/octet-stream	etag:%225afd493d-7d14%22	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.woff	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.woff	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
18:34:25	56976/56976	---M--	200	added ('OK')	application/octet-stream	etag:%225afd493d-de90%22	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
18:34:25	150535/150535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225afd493d-24c07%22	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.svg	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.svg	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
18:34:26	94360/94360	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2012:34:57%20GMT	https://chefmasters.com.br/fonts/MYRIADPRO-REGULAR.OTF	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/MYRIADPRO-REGULAR.OTF	(from https://chefmasters.com.br/fonts/Myarad-pro.css)
18:34:26	95684/95684	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2012:34:56%20GMT	https://chefmasters.com.br/fonts/MYRIADPRO-BOLD.OTF	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/MYRIADPRO-BOLD.OTF	(from https://chefmasters.com.br/fonts/Myarad-pro.css)
18:34:27	97888/97888	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2012:34:57%20GMT	https://chefmasters.com.br/fonts/MYRIADPRO-CONDIT.OTF	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/MYRIADPRO-CONDIT.OTF	(from https://chefmasters.com.br/fonts/Myarad-pro.css)
18:34:27	100252/100252	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2012:34:56%20GMT	https://chefmasters.com.br/fonts/MYRIADPRO-BOLDIT.OTF	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/MYRIADPRO-BOLDIT.OTF	(from https://chefmasters.com.br/fonts/Myarad-pro.css)
